S.NO,Submitted Time,1. Name,2. select book,3. Number of quantity
224,03-08-2022,Yamini,Reactjs for beginners ,1
225,03-08-2022,Yamini,Angular for beginners,1
226,03-08-2022,Yamini,Angular for beginners,1
227,03-08-2022,Bhuvaneswari,Reactjs for beginners ,1
228,03-08-2022,Bhuvaneswari,Reactjs for beginners ,1
229,03-08-2022,Bhuvaneswari,"Reactjs,the main pillar of web-development",1
230,03-08-2022,Bhuvaneswari,"The frame work for web-development,angular",1
231,03-08-2022,Manogna sree,"Reactjs,the main pillar of web-development",1
232,03-08-2022,Manogna sree,Angular for beginners,1
233,03-08-2022,Manogna sri,Reactjs for beginners ,1
234,03-08-2022,Manogna sri,Angular for beginners,1
235,03-08-2022,Manaswi M,"The frame work for web-development,angular",1
236,03-08-2022,Manaswi,Reactjs for beginners ,1
237,03-08-2022,Manoj,Reactjs for beginners ,1
238,03-08-2022,Manoj,"Reactjs,the main pillar of web-development",1
239,03-08-2022,Manoj,Angular for beginners,1
240,03-08-2022,Muni,live web server with Reactjs and firebase,1
241,03-08-2022,Muni,live web server with Reactjs and firebase,1
242,03-08-2022,Munesh,Angular for beginners,1
243,03-08-2022,Mukesh kumar,"Reactjs,the main pillar of web-development",1
244,03-08-2022,Mukesh kumar,"The frame work for web-development,angular",1
245,03-08-2022,Munisai,live web server with Reactjs and firebase,1
246,03-08-2022,Munisai,"The frame work for web-development,angular",1
247,03-08-2022,Lokesh,live web server with Reactjs and firebase,1
248,03-08-2022,Lokesh,"Reactjs,the main pillar of web-development",1
249,03-08-2022,Lokesh,live web server with Reactjs and firebase,1
250,03-08-2022,Lokesh kumar,Angular for beginners,1
251,03-08-2022,Mahendra,Data science with python,1
252,03-08-2022,Mahendra,Data science for dummies,2
253,03-08-2022,S Mahendra,Data science from scratch,1
254,03-08-2022,S Mahendra,Data science with python,1
255,03-08-2022,S Mahendra,Practical statistics for data scientist,1
256,03-08-2022,M Mahendra,Data science from scratch,1
257,03-08-2022,M Mahendra,Data science with python,1
258,03-08-2022,N Mahendra,Data science with python,1
259,03-08-2022,N Mahendra,The Data science handbook-Field cady,1
260,03-08-2022,G Mahendra,Data science with python,1
261,03-08-2022,H Mahendra,Data science for dummies,1
262,03-08-2022,H Mahendra,Data science with python,1
263,03-08-2022,B Mahendra,Data science for dummies,1
264,03-08-2022,Y Mahendra,Data science with python,1
265,03-08-2022,Y Mahendra,Practical statistics for data scientist,1
266,03-08-2022,1,Practical statistics for data scientist,1
267,03-08-2022,U Mahendra,Data science for dummies,1
268,03-08-2022,I Mahendra,The Data science handbook-Field cady,1
269,03-08-2022,T Mahendra,Data science for dummies,1
270,03-08-2022,T Mahendra,The Data science handbook-Field cady,1
271,03-08-2022,P Mahendra,Data science for dummies,1
272,03-08-2022,D Mahendra,Data science for dummies,1
273,03-08-2022,P Mahendra,Data science from scratch,1
274,03-08-2022,O Mahendra,Data science with python,1
275,03-08-2022,Nagasai,Data science for dummies,1
276,03-08-2022,Nagasai,Data science for dummies,1
277,03-08-2022,Nagasi P,Data science with python,1
278,03-08-2022,Nagasai P,Data science from scratch,1
279,03-08-2022,Nagasai P,Data science with python,1
280,03-08-2022,Nagasai M,Data science for dummies,1
281,03-08-2022,Nagasai M,Data science with python,1
282,03-08-2022,Nagasai N,The Data science handbook-Field cady,2
283,03-08-2022,Nagasai J,Data science with python,1
284,03-08-2022,Nagasai M,Data science for dummies,1
285,03-08-2022,A Nagasai,The Data science handbook-Field cady,1
286,03-08-2022,A Nagasai,Data science for dummies,1
287,03-08-2022,B Nagasai,Data science for dummies,1
288,03-08-2022,B Nagasai,Data science with python,1
289,03-08-2022,C Nagasai,Data science from scratch,1
290,03-08-2022,C Nagasai,Practical statistics for data scientist,1
291,03-08-2022,D Nagasai,The Data science handbook-Field cady,1
292,03-08-2022,D Nagasai,Data science from scratch,1
293,03-08-2022,A Mahadev,Data science from scratch,1
294,03-08-2022,B Mahadev,The Data science handbook-Field cady,1
295,03-08-2022,C Nagasai,Practical statistics for data scientist,1
296,03-08-2022,D Mahadev,Data science with python,1
297,03-08-2022,E Mahadev,Data science from scratch,1
298,03-08-2022,F Mahadev,Practical statistics for data scientist,1
299,03-08-2022,G Mahadev,Data science with python,1
300,03-08-2022,G Mahadev,Practical statistics for data scientist,1
301,03-08-2022,H Mahadev,The Data science handbook-Field cady,1
302,03-08-2022,I Mahadev,Practical statistics for data scientist,1
303,03-08-2022,J Mahadev,Data science for dummies,1
304,03-08-2022,A Ravi,Data science with python,1
305,03-08-2022,A Ravi,Data science for dummies,1
306,03-08-2022,B Ravi,Practical statistics for data scientist,1
307,03-08-2022,C Ravi,Practical statistics for data scientist,1
308,03-08-2022,D Ravi,The Data science handbook-Field cady,1
309,03-08-2022,E Ravi,Data science with python,1
310,03-08-2022,E Ravi,Practical statistics for data scientist,1
311,03-08-2022,G Ravi,Practical statistics for data scientist,1
312,03-08-2022,G Ravi,Practical statistics for data scientist,1
313,03-08-2022,H Ravi,Data science with python,1
314,03-08-2022,H Ravi,Data science with python,1
315,03-08-2022,J Ravi,Data science with python,1
316,03-08-2022,L Ravi,Data science for dummies,1
317,03-08-2022,M Ravi,Practical statistics for data scientist,1
318,03-08-2022,K Ravi,Practical statistics for data scientist,1
319,03-08-2022,P Ravi,Data science with python,1
320,03-08-2022,M Ravi,Data science for dummies,1
321,03-08-2022,S Ravi,The Data science handbook-Field cady,1
322,03-08-2022,T Ravi,The Data science handbook-Field cady,1
323,03-08-2022,T Ravi,Data science for dummies,1
324,03-08-2022,A Ravi kumar,Data science from scratch,1
325,03-08-2022,A Ravi kumar,Data science for dummies,1
326,03-08-2022,B Ravi kumar,Data science with python,1
